age,sex,education,income_respondent,children_in_household,marital_status,feelings_life,has_partner
52.7,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,"Single, never married",8,0
51.1,Male,Trade certificate or diploma,"Less than $25,000",No child,Married,10,1
63.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,Married,8,1
80,Female,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",No child,Married,10,1
28,Male,"College, CEGEP or other non-university certificate or di...","Less than $25,000",No child,Living common-law,8,1
63,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,9,1
58.8,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",4,0
80,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,Divorced,10,0
63.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,"Single, never married",8,0
25.2,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",5,0
15.7,Male,Less than high school diploma or its equivalent,"Less than $25,000",Two children,"Single, never married",10,0
40.3,Female,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",No child,"Single, never married",6,0
56.8,Female,High school diploma or a high school equivalency certificate,"Less than $25,000",No child,Married,6,1
26.8,Female,Trade certificate or diploma,"$25,000 to $49,999",Two children,Living common-law,10,1
66.8,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,6,1
30.6,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",No child,"Single, never married",9,0
68.8,Male,High school diploma or a high school equivalency certificate,"$125,000 and more",No child,Married,9,1
33.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",8,0
73.2,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,Married,10,1
39.1,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",Three or more children,Living common-law,9,1
64.8,Male,"University certificate, diploma or degree above the bach...","$25,000 to $49,999",No child,Married,10,1
25.5,Male,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,"Single, never married",8,0
49.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",8,0
16.3,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",7,0
63.5,Female,"College, CEGEP or other non-university certificate or di...","$25,000 to $49,999",No child,Divorced,8,0
78.4,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$75,000 to $99,999",No child,"Single, never married",9,0
30.8,Female,"University certificate, diploma or degree above the bach...","$100,000 to $ 124,999",No child,"Single, never married",7,0
19.1,Female,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",2,0
40.8,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",One child,Separated,7,0
43.9,Male,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Living common-law,9,1
40.7,Female,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$25,000 to $49,999",Two children,Living common-law,8,1
80,Male,Less than high school diploma or its equivalent,"$25,000 to $49,999",No child,Widowed,7,0
16.8,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,"Single, never married",8,0
80,Female,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",No child,Widowed,10,0
71.4,Male,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",No child,Separated,8,0
71.6,Male,Less than high school diploma or its equivalent,"Less than $25,000",No child,Married,10,1
29.6,Male,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)","$50,000 to $74,999",No child,"Single, never married",7,0
74.9,Female,"University certificate, diploma or degree above the bach...","$50,000 to $74,999",No child,"Single, never married",8,0
